boundary_times_sec,stimulus_file,Boundary count,Confidence Rating,stimulus_name,predictability,old_video_code,old_pair_number,video_code_second_version,pair_number_second_version,included_in_new_version,block,global_position_in_block,participant_id
"[2.558038,7.075099,12.162618,19.396787,21.947557,22.581279,29.732398]",cleaning_v1.mp4,7.0,Very confident,cleaning,Predictable,P10,10,P10,10,True,1.0,10.0,6001
"[3.217436,7.696706,11.785036,19.449814,29.635358]",cleaning_v2.mp4,5.0,Moderately confident,cleaning,Unpredictable,U10,10,U10,10,True,2.0,10.0,6001
"[9.030537,14.248085,19.514705,26.083659]",fireplace_v1.mp4,4.0,Neutral,fireplace,Predictable,P11,11,P11,11,True,2.0,11.0,6001
"[5.341771,13.885902,19.162566,27.926935]",fireplace_v2.mp4,4.0,Neutral,fireplace,Unpredictable,U11,11,U11,11,True,1.0,11.0,6001
"[3.163555,6.970658,22.059822,31.644655]",football_v1.mp4,4.0,Moderately confident,football,Predictable,P12,12,P12,12,True,2.0,12.0,6001
"[6.357931,9.583214,21.594106,31.600066]",football_v2.mp4,4.0,Moderately confident,football,Unpredictable,U12,12,U12,12,True,1.0,12.0,6001
"[3.630792,7.861592,12.205397,17.410673,24.73675]",gym_v1.mp4,5.0,Very confident,gym,Predictable,P13,13,P13,13,True,1.0,13.0,6001
"[4.216774,8.27857,12.395461,19.302909,21.937192,23.827461,27.446873]",gym_v2.mp4,7.0,Very confident,gym,Unpredictable,U13,13,U13,13,True,2.0,13.0,6001
"[5.018621,5.775919,13.089416,22.807169,27.678615]",lamp_v1.mp4,5.0,Moderately confident,lamp,Predictable,P14,14,P14,14,True,2.0,14.0,6001
"[5.659166,13.729097,22.624188]",lamp_v2.mp4,3.0,Moderately confident,lamp,Unpredictable,U14,14,U14,14,True,1.0,14.0,6001
"[2.334814,5.134603,13.046799,26.113532,29.925543]",laundry_v1.mp4,5.0,Very confident,laundry,Predictable,P15,15,P15,15,True,2.0,15.0,6001
"[11.72617,24.86501,29.61112]",laundry_v2.mp4,3.0,Moderately confident,laundry,Unpredictable,U15,15,U15,15,True,1.0,15.0,6001
"[3.018787,6.720154,8.607711,13.107731,25.673543]",mouse_v1.mp4,5.0,Very confident,mouse,Predictable,P17,17,P16,16,True,2.0,17.0,6001
"[2.817764,7.350443,9.463635,11.082855,19.594871,24.562184,27.06557]",mouse_v2.mp4,7.0,Moderately confident,mouse,Unpredictable,U17,17,U16,16,True,1.0,17.0,6001
"[10.758008,18.411754,22.980873,24.510385,33.799936,37.253235]",music_v1.mp4,6.0,Very confident,music,Predictable,P18,18,P17,17,True,1.0,18.0,6001
"[2.969106,11.990011,20.719274,26.02561,34.072543]",music_v2.mp4,5.0,Moderately confident,music,Unpredictable,U18,18,U17,17,True,2.0,18.0,6001
"[4.09689,16.424953,20.007307,22.413455]",painting_v1.mp4,4.0,Moderately confident,painting,Predictable,P19,19,P18,18,True,1.0,19.0,6001
"[2.931303,7.076333,16.430972,19.3464,23.779958]",painting_v2.mp4,5.0,Neutral,painting,Unpredictable,U19,19,U18,18,True,2.0,19.0,6001
"[3.378622,10.710891,19.096052,23.568365,28.382568,30.504918]",party_v1.mp4,6.0,Very confident,party,Predictable,P20,20,P19,19,True,2.0,20.0,6001
"[3.419379,10.576915,20.101732,23.510468,28.078549]",party_v2.mp4,5.0,Very confident,party,Unpredictable,U20,20,U19,19,True,1.0,20.0,6001
