PROLIFIC_PID,randomized_pair_order,stimulus_name,predictability,boundary_times_sec,boundary_count,block,global_position_in_block,video_attention_failure_type
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",walking,Unpredictable,"[0.970564,2.522565,3.410501,5.394375,7.154708,8.218611,9.282839,10.930416,12.722418,13.826425,14.994514,16.506423,18.210399,19.546671,20.810924]",15.0,2.0,21.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",bedding,Predictable,"[0.995162,3.202636,4.506426,6.498725,8.274392,10.40259,12.322514,16.19431,19.947428,21.538783,24.498889,26.347304,28.938494,30.794618,32.186711,33.466642,34.674711]",17.0,2.0,22.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",sunbathing,Unpredictable,"[3.1992,5.35114,7.350746,8.622439,12.190697,15.183256,18.086583,20.790712,21.766706,23.022512,24.006279,28.4226,31.302495,32.150437,33.12649,34.462944,35.590677,37.198942]",18.0,2.0,23.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",mouse,Unpredictable,"[3.614468,6.542811,8.407079,9.142957,10.350758,11.470305,12.222485,13.142696,15.934583,16.966435,18.542465,23.830945,24.766554,26.142689,29.327453]",15.0,2.0,24.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",poster,Predictable,"[2.134562,3.286706,4.942503,6.342375,8.190763,9.287644,11.510848,16.703181,18.206725,20.694625,22.070751]",11.0,2.0,25.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",shopping,Predictable,"[1.055423,2.270759,3.574447,5.662622,7.646861,8.863338,10.663191]",7.0,2.0,26.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",skateboard,Unpredictable,"[1.182725,2.318513,3.734496,5.254461,6.007489,6.974568,9.431078,11.254549,15.110457,16.366657,17.662926,19.622806,21.190852,23.054681]",14.0,2.0,27.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",balcony,Predictable,"[1.094469,2.422294,3.990525,5.902768,7.119116,8.742376,9.646515,11.710749,13.150539,14.598555,15.710575,16.582631,18.374463,19.822976,21.535341,23.366376,24.638151,26.038625,26.98264]",19.0,2.0,28.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",record,Predictable,"[1.010503,1.674607,2.338723,3.051087,3.890346,4.77852,7.138899,9.666696,11.227057,12.826512,14.866597,16.682504,18.130716]",13.0,2.0,29.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",tennis,Predictable,"[1.154531,4.138561,5.786526,8.651019,9.946898,10.754516,11.610728,13.314642,14.387043,15.442264,18.138624,19.786696,22.770904,24.626589,27.147147,28.418373]",16.0,2.0,30.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",mouse,Predictable,"[1.302752,2.908234,4.150265,6.705085,8.475631,10.462915,12.16298,14.439289,16.911042,18.917936,21.345866,23.828052,25.230386,27.72733]",14.0,1.0,1.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",party,Unpredictable,"[1.136756,2.660713,4.492266,6.103113,8.970261,13.176404,14.385475,17.176857,20.223557,21.795537,26.078733,30.247271,32.226702,34.279081]",14.0,1.0,2.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",lamp,Predictable,"[1.436157,5.585246,8.18641,11.124053,13.986093,17.626464,21.140327,23.67729,25.547748,28.490173]",10.0,1.0,3.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",whiteboard,Unpredictable,"[1.279246,2.138974,3.058407,3.730217,4.530067,6.187963,7.066661,8.522854,11.003138,13.427554,15.582769,17.925177,21.067352,24.21157,26.17812,28.702463,30.392805,31.657808,33.411663,35.259242]",20.0,1.0,4.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",laundry,Predictable,"[1.215442,4.104838,6.933245,10.050256,11.742712,14.919079,18.090265,19.063315,22.073736,25.04639,27.224611,29.172298]",12.0,1.0,5.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",gym,Predictable,"[2.299977,3.955108,5.597326,7.498848,9.769448,12.231346,14.456097,16.071223,17.629562,19.29889,21.221896,23.282799,25.322719,26.898738,29.053289]",15.0,1.0,6.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",skateboard,Predictable,"[1.779085,3.017614,4.871686,6.205824,7.322361,9.125879,10.88184,12.383305,14.755864,16.698182,19.891105,22.557494,23.551606]",13.0,1.0,7.0,
699f870f1185d9ba60a6e928,"[16,19,14,30,15,13,24,28,25,21,4,20,7,5,22,1,10,17,18,11,3,23,29,9,12,8,26,2,27,6]",tennis,Unpredictable,"[0.659643,2.460677,3.593486,5.759164,7.967515,10.367443,11.649745,13.743457,15.43209,17.708628,20.042827,21.917273,23.793413,25.817836,27.270226,29.087018]",16.0,1.0,8.0,
